bus_id,vm_pu,va_degree,p_mw,q_mvar
0,1.0,0.0,-354.63779370880593,-112.23385421988112
1,0.9999999999999999,-3.367699807671225,354.51089561469917,-64.50408339500427
2,0.9999999999999997,11.350628930280319,-106.01003381361988,-37.27397608757019
3,0.9999999999999999,10.374250802414332,-198.94694380413648,-12.500847697257996
4,0.9999999999999998,-0.3748174885552872,466.83218033471167,-78.39709544181821
5,0.9999999999999999,-1.7410652250030463,-113.1080997610834,14.505752325057983
6,0.9999999999999999,-2.161393931303875,185.76646786414767,-30.7129909992218
7,0.9955309034750406,-4.1994279093328615,139.7597297961538,0.0
8,0.998981858916997,-2.322371551056396,0.0,0.0
9,1.0,-3.4485317404062674,183.66448397329032,-30.393714666366577
10,0.9999999999999999,12.707395645407004,-124.01862343402081,11.990688562393188
11,1.0,13.221738286596457,-420.6765718643137,25.314244747161865
12,1.0,1.1838075413516178,182.88156789619734,-234.54845261573792
13,0.9962267388255828,1.0041573952796496,0.0,0.0
14,1.0,-3.5057486534649227,-47.380094399123664,1.7596032619476318
15,0.9999999999999998,-1.5510620145740446,-16.168134157686836,2.4063262939453125
16,1.001976138765972,0.8549231260831701,0.0,0.0
17,0.9999999999999999,-8.818288960963837,545.7404600265936,-243.65557551383972
18,0.9961003737709104,-2.023488644888355,39.58622535807717,0.0
19,0.9999999999999999,2.397133597025748,199.78932031282966,-105.29621815681458
20,1.0,-4.568784395816566,313.5379451491326,-82.1430070400238
21,1.0000000000000002,13.888828772360004,-231.61517417713912,32.52214241027832
22,0.9994450686986827,9.941940935920005,0.0,0.0
23,1.0,12.898691389012532,-691.9258281905395,-21.695504784584045
24,1.0,11.539323227274975,-317.57147415305553,-38.98481094837189
25,0.9999999999999999,-0.004419022361067682,26.91105937107295,-47.705078125
26,0.9999999999999999,7.2645593168399465,-246.79091255735693,-44.47658884525299
27,1.0000000000000002,2.951948214592817,-187.3556635852483,-76.4533041715622
28,0.9999999999999999,6.612418128893684,-251.9610927389749,-1.1479301452636719
29,1.0000000000000002,-5.422204919752143,-150.8191597160121,-397.61472713947296
30,1.0,-5.170354019420528,-93.90073046552061,-1.0761969089508057
31,0.9999999999999998,-1.5389313446418473,-3.733828573890605,0.5631924867630005
32,0.9999999999999998,5.079903230110432,-119.86814015352411,-15.44784128665924
33,0.9908567030193265,-13.270146006425337,0.0,0.0
34,0.9999619948952525,12.514887794124485,0.0,0.0
35,0.9999999999999997,10.577187383613131,30.523905448755613,-31.018607258796692
36,0.9994450686986827,9.941940935920005,0.0,0.0
37,0.9999999999999999,8.670075442934703,-93.76145160921169,-78.87090539932251
38,0.9999999999999999,16.017447233604432,-7.971443452871426,-11.25345504283905
39,0.9999999999999997,14.387298877959266,-239.7578489311045,29.488646745681763
40,0.9999999999999999,5.249515391878318,142.59733217365738,-109.18625223636627
41,1.0,12.82058897333216,-289.15127025910806,31.967525362968445
42,0.997381712910955,-1.169621192209239,343.49119240723576,0.0
43,1.0001669709580963,7.791623442409141,0.0,0.0
44,1.0,5.082226257332577,-289.98183037464605,-90.78502011299133
45,1.0,-9.881690894015856,824.0717168674373,-122.82449853420258
46,0.9993479613486216,11.816155369903342,0.0,0.0
47,0.9999999999999998,-17.801901222854998,291.3581549298633,-599.642800331116
48,0.9999999999999999,-26.737713233802417,482.48975009614696,-570.3113734722137
49,0.9875795022618279,-4.449929422487116,0.0,0.0
50,0.9999619948952525,12.514887794124485,0.0,0.0
51,0.9999999999999999,12.239755235221901,-204.62295511682532,16.74836540222168
52,1.0,16.407326404972878,-197.88116436749442,-20.100886464118958
53,1.0,14.263674910657137,-29.564489032396523,-45.51588261127472
54,0.9999999999999999,17.18078500550338,-890.1189601035003,6.280229687690735
55,1.0000000000000002,15.200632321337663,-364.9487736424344,37.729148745536804
56,0.9999999999999999,14.943501628745032,-168.91885108902352,16.08006978034973
57,1.0000000000000002,5.248318251081666,0.6044896516359586,-0.09125006198883057
58,1.0,-0.7118083752470026,96.37746296491059,-149.71004486083984
59,1.0000000000000004,4.397512073468845,-265.94671828756873,-19.714426279067993
60,1.000558358877792,-6.3874755122919264,0.0,0.0
61,0.9971851684896922,-4.405725492637359,0.0,0.0
62,0.9999999999999999,12.451145200959642,-64.8409628787922,8.539147138595581
63,0.9889757874419198,-24.741908988478848,190.18744809356394,0.0
64,0.9999999999999998,-34.389930278580486,298.8074365574157,-399.0696144104004
65,0.9999999999999997,-41.10206341033992,278.28467722976166,-456.1544804573059
66,0.9969364760718546,-18.16199213400023,0.0,0.0
67,0.9998948524895508,-19.419865857036008,-10.309997675863997,0.0
68,0.9991551816097394,16.641583692753706,0.0,0.0
69,1.0000000000000002,15.131985078413745,-860.0813792779027,104.7662627696991
70,1.0,17.34356069423812,-462.2158051698734,61.92840325832367
71,0.9999999999999999,14.672683055018593,-143.56757421024122,13.92219603061676
72,1.0,13.19034479552877,11.40461240642071,-26.67445731163025
73,0.9999999999999998,16.139963819750477,-21.75048749285088,-5.409330129623413
74,0.9999999999999997,-1.3236792328325322,603.1007232650718,-108.469123005867
75,0.9941537451771574,1.2213337436528504,495.0,0.0
76,1.0,-6.2233203916007716,9.801759512043645,-0.15575432777404785
77,0.9999999999999999,-2.622011344349475,149.72466476545378,-95.47053611278534
78,0.9990596127294704,-6.128300465115797,0.0,0.0
79,0.9999999999999997,-2.62133388971543,-138.1313818965191,-36.40958273410797
80,0.9999999999999996,12.471684538525114,-109.73385420519662,17.913854479789734
81,0.9999999999999998,-43.18073312648389,662.9611748005173,-93.08217263221741
82,0.9944080035676941,-43.41820178147456,89.14537496873709,0.0
83,0.9999999999999999,-44.80195568803962,8.818966597180406,-232.92586398124695
84,0.9999999999999998,-35.600741347238404,109.66344858110642,-511.7592041492462
85,0.9950938931038189,-18.06707656091416,-18.29304615561159,0.0
86,1.0,-17.286857472213253,-303.94852502100184,-182.17151081562042
87,0.9958081324953327,-11.443267580164509,0.0,0.0
88,1.0,-9.837676853079191,-146.3340429855234,-117.00943303108215
89,0.9999040701617158,-19.16779105350868,0.0,0.0
90,0.9996548206957849,16.78937666774627,0.0,0.0
91,1.0,15.401497816139281,-77.96840186347981,-42.234360218048096
92,0.9968629025284268,11.853437139697794,0.0,0.0
93,0.9999999999999999,17.90543089290321,11.44456804111178,-16.956393599510193
94,0.9999999999999999,16.761055180452797,-26.81266308427439,-51.77414584159851
95,1.0008177576168344,16.0241790710718,0.0,0.0
96,1.0000135972397683,17.213693586952967,0.0,0.0
97,0.9999507753625182,17.18140237962,17.82199375111486,0.0
98,0.9998702481486444,13.775528560044492,3.6233840723307367,0.0
99,1.0,13.330760726234637,-100.49730194716903,15.043476223945618
100,0.9999999999999998,10.513216635528753,-781.3009314861574,35.13122308254242
101,0.9999999999999998,16.139963819750477,0.0,0.0
102,0.9998339825092899,16.92154087150998,0.0,0.0
103,1.0,3.671918232322985,10.114253026007646,-48.892948627471924
104,1.0,3.037526361924994,223.01765965837512,-78.78594195842743
105,1.0000000000000002,-4.193911524910602,274.6346696521905,-67.47933053970337
106,1.0,-6.466231136782665,305.237357897744,-48.19447660446167
107,1.0,8.413462813865486,-219.6096351554188,7.65769362449646
108,1.0,-6.946866056200274,-347.9669741046255,-11.138738989830017
109,1.0,-1.338057905749595,6.191596540327737,-92.6820558309555
110,0.9819741786742584,-45.939560479854016,353.2187074846388,0.0
111,0.9914791613064662,-45.21005854132155,847.7200338765851,0.0
112,0.9945724983147769,-44.344926240468645,177.67684597418702,0.0
113,0.9999999999999999,-42.17559248917246,-3295.584154214055,132.66176462173462
114,0.9963770190536514,-49.49412083735888,83.34697984187369,0.0
115,0.9999999999999999,-52.14321451555939,244.8281045284566,-233.41792917251587
116,0.975873973558818,-40.296583326218176,0.0,0.0
117,0.9961377860081103,-8.610411026199635,0.0,0.0
118,1.0,-17.813480477077544,-19.48925653671904,-175.78661262989044
119,1.0,-5.965739794570106,-161.71982527745786,-61.13385725021362
120,0.9966485758009306,-9.589395250168346,43.10291773847348,0.0
121,0.9999622395657428,-8.895148307471484,0.0,0.0
122,1.0000000000000002,-8.045078055476843,-21.68310506513444,-2.142217516899109
123,0.9957682937332142,-15.54601638440128,20.18340427216026,0.0
124,1.0000000000000002,17.090735807880666,69.94806033118948,-22.184808492660522
125,0.9999999999999999,24.163606639052528,-91.39727516228231,11.047758340835571
126,1.0000000000000002,18.653563958256694,-55.51215063585187,3.3076943159103394
127,1.0,16.214277941296825,366.5725099203737,-57.1219664812088
128,1.0,18.775115412490507,-81.14358564977374,2.2938969135284424
129,0.9999999999999999,18.812241560244953,-160.83450485160574,-5.695710778236389
130,0.9999804692027088,17.193570625230983,0.0,0.0
131,0.9999999999999998,17.06370385126392,-119.22299277891943,1.1381950378417969
132,0.9999999999999998,12.902485532248061,-104.80432917347571,2.8622615337371826
133,1.0,5.503573069274391,178.42102741815324,-48.834213972091675
